Data;IPCA
02/03/2022;1.62
03/03/2022;1.62
04/03/2022;1.62
07/03/2022;1.62
08/03/2022;1.62
09/03/2022;1.62
10/03/2022;1.62
11/03/2022;1.62
14/03/2022;1.62
15/03/2022;1.62
16/03/2022;1.62
17/03/2022;1.62
18/03/2022;1.62
21/03/2022;1.62
22/03/2022;1.62
23/03/2022;1.62
24/03/2022;1.62
25/03/2022;1.62
28/03/2022;1.62
29/03/2022;1.62
30/03/2022;1.62
31/03/2022;1.62
01/04/2022;1.06
04/04/2022;1.06
05/04/2022;1.06
06/04/2022;1.06
07/04/2022;1.06
08/04/2022;1.06
11/04/2022;1.06
12/04/2022;1.06
13/04/2022;1.06
14/04/2022;1.06
18/04/2022;1.06
19/04/2022;1.06
20/04/2022;1.06
22/04/2022;1.06
25/04/2022;1.06
26/04/2022;1.06
27/04/2022;1.06
28/04/2022;1.06
29/04/2022;1.06
02/05/2022;1.06
03/05/2022;1.06
04/05/2022;1.06
05/05/2022;1.06
06/05/2022;1.06
09/05/2022;1.06
10/05/2022;1.06
11/05/2022;1.06
12/05/2022;1.06
13/05/2022;1.06
16/05/2022;1.06
17/05/2022;1.06
18/05/2022;1.06
19/05/2022;1.06
20/05/2022;1.06
23/05/2022;1.06
24/05/2022;1.06
